DASYLab - V 4.02.22
WORKSHEET          : VOLVOHR04_VER2
Recording Date     : 2009-03-31, 10:53:53
Block Length       : 256
Delta              : 0.002000 sec.
Number of Channels : 12
Time	Yaw [rad/s]	Pitch [rad/s]	Roll [rad/s]	Xacc [m/s²]	Zacc [m/s²]	Yacc [m/s²]	Strwhlangle [rad]	Speed [m/s]	Slip [rad]	Pulse []	Servopressure []	Strwhlmoment []	
2.332	0.0094	0.0270	0.0073	-0.1799	-0.1224	0.1773	0.0141	13.7702	-0.0075	-0.9305	3.6200	5.3842	
2.334	0.0112	0.0285	0.0064	-0.1744	-0.0949	0.1841	0.0144	13.6041	-0.0062	-0.9293	3.6207	5.3860	
2.336	0.0107	0.0267	0.0055	-0.2007	-0.0833	0.1804	0.0144	13.6380	-0.0068	-0.9309	3.6219	5.3887	
2.338	0.0105	0.0273	0.0076	-0.1848	-0.0504	0.1859	0.0141	13.4718	-0.0060	-0.9071	3.6234	5.3919	
2.340	0.0095	0.0279	0.0082	-0.1909	-0.0473	0.2032	0.0141	13.5786	-0.0043	-0.9216	3.6252	5.3956	
2.342	0.0091	0.0256	0.0076	-0.1878	-0.0247	0.1718	0.0148	13.6397	-0.0052	-0.9276	3.6270	5.3993	
2.344	0.0111	0.0268	0.0073	-0.1933	0.0052	0.1810	0.0152	13.5956	-0.0058	-0.9276	3.6288	5.4030	
2.346	0.0108	0.0250	0.0054	-0.2166	-0.0083	0.1687	0.0150	13.8007	-0.0063	-0.9323	3.6306	5.4065	
2.348	0.0111	0.0246	0.0078	-0.2044	0.0143	0.1847	0.0144	13.7244	-0.0049	-0.9082	3.6323	5.4099	
2.350	0.0107	0.0259	0.0075	-0.2154	-0.0009	0.2001	0.0137	13.7109	-0.0044	-0.9135	3.6340	5.4133	
2.352	0.0089	0.0232	0.0077	-0.2190	0.0021	0.1767	0.0134	13.7109	-0.0052	-0.9012	3.6358	5.4167	
2.354	0.0111	0.0242	0.0079	-0.2288	0.0161	0.1903	0.0131	13.6125	-0.0050	-0.9198	3.6376	5.4201	
2.356	0.0110	0.0214	0.0059	-0.2398	-0.0217	0.1835	0.0124	13.7363	-0.0058	-0.9398	3.6394	5.4235	
2.358	0.0115	0.0223	0.0081	-0.2355	-0.0254	0.2075	0.0114	13.6566	-0.0053	-0.9052	3.6413	5.4270	
2.360	0.0113	0.0227	0.0085	-0.2429	-0.0724	0.2248	0.0103	13.6515	-0.0038	-0.9264	3.6432	5.4305	
2.362	0.0101	0.0202	0.0090	-0.2380	-0.0876	0.2063	0.0095	13.6719	-0.0022	-0.8948	3.6452	5.4342	
2.364	0.0116	0.0211	0.0079	-0.2178	-0.1029	0.2051	0.0087	13.6939	-0.0030	-0.9242	3.6472	5.4378	
2.366	0.0111	0.0185	0.0074	-0.2429	-0.1407	0.2020	0.0079	13.7380	-0.0032	-0.9164	3.6491	5.4413	
2.368	0.0113	0.0197	0.0100	-0.2288	-0.1737	0.1921	0.0072	13.5430	-0.0034	-0.8917	3.6509	5.4445	
2.370	0.0133	0.0186	0.0099	-0.2514	-0.2158	0.2131	0.0065	13.6295	-0.0024	-0.9178	3.6526	5.4476	
2.372	0.0111	0.0180	0.0105	-0.2355	-0.2042	0.1995	0.0062	13.5634	-0.0022	-0.8961	3.6541	5.4504	
2.374	0.0122	0.0187	0.0097	-0.2123	-0.2152	0.1946	0.0059	13.7855	-0.0025	-0.9056	3.6554	5.4528	
2.376	0.0117	0.0160	0.0090	-0.2313	-0.2286	0.1890	0.0054	13.9499	-0.0023	-0.8922	3.6565	5.4548	
2.378	0.0121	0.0171	0.0116	-0.2160	-0.2390	0.1909	0.0048	13.9262	-0.0026	-0.8737	3.6574	5.4565	
2.380	0.0138	0.0160	0.0119	-0.2417	-0.2603	0.1995	0.0041	13.8177	-0.0019	-0.8911	3.6582	5.4582	
2.382	0.0115	0.0162	0.0128	-0.2282	-0.2231	0.1724	0.0038	13.6363	-0.0028	-0.8829	3.6591	5.4599	
2.384	0.0128	0.0149	0.0141	-0.2258	-0.2072	0.1829	0.0040	13.6142	-0.0038	-0.9113	3.6600	5.4617	
2.386	0.0109	0.0129	0.0123	-0.2374	-0.1908	0.1693	0.0050	13.6634	-0.0043	-0.9073	3.6609	5.4634	
2.388	0.0124	0.0148	0.0134	-0.2245	-0.1883	0.1533	0.0059	13.5329	-0.0052	-0.8948	3.6617	5.4650	
2.390	0.0136	0.0140	0.0130	-0.2490	-0.1902	0.1736	0.0064	13.5362	-0.0059	-0.9248	3.6624	5.4664	
2.392	0.0116	0.0137	0.0135	-0.2392	-0.1370	0.1545	0.0068	13.4193	-0.0082	-0.9073	3.6630	5.4673	
2.394	0.0132	0.0126	0.0133	-0.2258	-0.1218	0.1625	0.0073	13.5396	-0.0069	-0.9344	3.6633	5.4677	
2.396	0.0115	0.0110	0.0112	-0.2441	-0.1096	0.1508	0.0082	13.7210	-0.0052	-0.9186	3.6633	5.4674	
2.398	0.0123	0.0126	0.0129	-0.2380	-0.0839	0.1644	0.0087	13.7193	-0.0046	-0.8765	3.6630	5.4664	
2.400	0.0113	0.0123	0.0139	-0.2472	-0.0815	0.1711	0.0090	13.8668	-0.0046	-0.9149	3.6625	5.4650	
2.402	0.0106	0.0083	0.0115	-0.2478	-0.0699	0.1514	0.0097	13.9974	-0.0044	-0.8865	3.6620	5.4633	
2.404	0.0119	0.0104	0.0121	-0.2313	-0.0644	0.1459	0.0104	13.8211	-0.0044	-0.8871	3.6615	5.4618	
2.406	0.0134	0.0105	0.0120	-0.2404	-0.0931	0.1557	0.0105	13.8448	-0.0039	-0.9140	3.6612	5.4606	
2.408	0.0100	0.0080	0.0112	-0.2270	-0.0656	0.1397	0.0104	13.8753	-0.0055	-0.8876	3.6613	5.4602	
2.410	0.0117	0.0089	0.0118	-0.2441	-0.0315	0.1249	0.0099	13.4905	-0.0063	-0.9158	3.6617	5.4605	
2.412	0.0113	0.0075	0.0099	-0.2570	-0.0766	0.1403	0.0089	13.8736	-0.0052	-0.8887	3.6626	5.4615	
2.414	0.0111	0.0072	0.0108	-0.2245	-0.0742	0.1187	0.0079	13.7193	-0.0048	-0.8966	3.6639	5.4633	
2.416	0.0128	0.0066	0.0098	-0.1995	-0.0797	0.1243	0.0071	13.6074	-0.0061	-0.9222	3.6655	5.4656	
2.418	0.0105	0.0037	0.0075	-0.2154	-0.0901	0.1095	0.0067	13.7397	-0.0053	-0.9135	3.6675	5.4686	
2.420	0.0124	0.0053	0.0095	-0.1970	-0.0815	0.1267	0.0060	13.6804	-0.0035	-0.9064	3.6698	5.4721	
2.422	0.0106	0.0056	0.0100	-0.2007	-0.0980	0.1385	0.0051	13.8668	-0.0032	-0.9087	3.6722	5.4759	
2.424	0.0102	0.0013	0.0090	-0.1946	-0.1010	0.1064	0.0047	14.0296	-0.0021	-0.8879	3.6747	5.4800	
2.426	0.0122	0.0027	0.0091	-0.1940	-0.1169	0.0811	0.0044	13.9296	-0.0018	-0.8754	3.6774	5.4844	
2.428	0.0134	0.0031	0.0091	-0.1915	-0.1444	0.1181	0.0039	13.9787	-0.0004	-0.8838	3.6803	5.4893	
2.430	0.0120	0.0030	0.0085	-0.1762	-0.1181	0.1089	0.0032	13.9381	-0.0004	-0.8722	3.6835	5.4949	
2.432	0.0115	0.0033	0.0075	-0.1511	-0.1187	0.1113	0.0019	13.7838	-0.0008	-0.8876	3.6870	5.5012	
2.434	0.0117	0.0009	0.0057	-0.1781	-0.1377	0.1132	0.0004	13.9058	-0.0015	-0.8945	3.6907	5.5079	
2.436	0.0122	0.0020	0.0078	-0.1640	-0.1187	0.1292	-0.0012	13.4040	-0.0012	-0.8992	3.6944	5.5148	
2.438	0.0113	0.0032	0.0074	-0.1646	-0.1383	0.1526	-0.0030	13.4396	-0.0015	-0.9093	3.6979	5.5213	
2.440	0.0105	0.0009	0.0072	-0.1609	-0.1206	0.1311	-0.0046	13.4159	-0.0003	-0.9081	3.7009	5.5270	
2.442	0.0117	0.0022	0.0062	-0.1597	-0.1047	0.1366	-0.0063	13.6278	0.0007	-0.9023	3.7032	5.5313	
2.444	0.0118	-0.0009	0.0042	-0.1762	-0.1193	0.1354	-0.0085	13.6227	0.0008	-0.9070	3.7046	5.5338	
2.446	0.0117	0.0007	0.0063	-0.1683	-0.1084	0.1526	-0.0112	13.6888	0.0003	-0.8908	3.7051	5.5346	
2.448	0.0110	0.0023	0.0054	-0.1762	-0.1157	0.1859	-0.0141	13.6532	0.0014	-0.9058	3.7047	5.5336	
2.450	0.0089	-0.0007	0.0045	-0.1701	-0.0888	0.1582	-0.0164	13.7990	0.0018	-0.8833	3.7035	5.5311	
2.452	0.0116	0.0003	0.0057	-0.1878	-0.0650	0.1582	-0.0184	13.6549	0.0030	-0.8751	3.7016	5.5274	
2.454	0.0112	-0.0002	0.0034	-0.2056	-0.0809	0.1711	-0.0205	14.1652	0.0024	-0.8543	3.6993	5.5228	
2.456	0.0112	-0.0004	0.0036	-0.1719	-0.0479	0.1607	-0.0224	13.8991	0.0023	-0.8359	3.6968	5.5178	
2.458	0.0115	-0.0016	0.0051	-0.1701	-0.0382	0.1884	-0.0235	13.8584	0.0034	-0.8646	3.6943	5.5128	
2.460	0.0103	-0.0039	0.0018	-0.1713	-0.0193	0.1822	-0.0235	13.7058	0.0043	-0.8554	3.6919	5.5081	
2.462	0.0119	-0.0012	0.0026	-0.1585	-0.0064	0.1890	-0.0237	13.5345	0.0051	-0.8522	3.6898	5.5039	
2.464	0.0125	-0.0004	0.0021	-0.1560	-0.0156	0.2131	-0.0244	13.5990	0.0056	-0.8754	3.6879	5.5003	
2.466	0.0101	-0.0020	0.0017	-0.1524	0.0229	0.1964	-0.0251	13.6227	0.0060	-0.8627	3.6862	5.4970	
2.468	0.0115	-0.0011	0.0002	-0.1505	0.0406	0.1970	-0.0261	13.7821	0.0049	-0.8676	3.6847	5.4941	
2.470	0.0115	-0.0029	-0.0017	-0.1664	0.0302	0.1896	-0.0274	13.8652	0.0046	-0.8447	3.6833	5.4914	
2.472	0.0113	-0.0025	0.0008	-0.1438	0.0479	0.1847	-0.0288	13.8821	0.0057	-0.8476	3.6822	5.4892	
2.474	0.0110	-0.0023	0.0012	-0.1395	0.0491	0.2094	-0.0297	13.9720	0.0067	-0.8667	3.6814	5.4877	
2.476	0.0085	-0.0046	-0.0003	-0.1365	0.0631	0.1822	-0.0298	14.0822	0.0086	-0.8379	3.6810	5.4871	
2.478	0.0114	-0.0028	0.0008	-0.1432	0.0644	0.1742	-0.0298	13.9516	0.0078	-0.8438	3.6812	5.4875	
2.480	0.0115	-0.0036	-0.0004	-0.1670	0.0430	0.1878	-0.0300	14.0449	0.0078	-0.8524	3.6821	5.4893	
2.482	0.0102	-0.0035	0.0002	-0.1346	0.0717	0.1742	-0.0299	14.0093	0.0089	-0.8208	3.6836	5.4923	
2.484	0.0116	-0.0050	0.0014	-0.1328	0.0723	0.1933	-0.0292	13.8075	0.0081	-0.8455	3.6858	5.4966	
2.486	0.0097	-0.0067	-0.0008	-0.1346	0.0815	0.1841	-0.0278	13.9313	0.0063	-0.8374	3.6886	5.5021	
2.488	0.0110	-0.0038	0.0011	-0.1279	0.0735	0.1637	-0.0266	13.7227	0.0060	-0.8427	3.6921	5.5087	
2.490	0.0121	-0.0045	0.0002	-0.1487	0.0540	0.1890	-0.0262	13.7448	0.0064	-0.8722	3.6959	5.5161	
2.492	0.0104	-0.0053	0.0006	-0.1334	0.0790	0.1909	-0.0260	13.6549	0.0054	-0.8630	3.7001	5.5241	
2.494	0.0118	-0.0049	0.0001	-0.1200	0.0815	0.1964	-0.0262	13.7668	0.0053	-0.8611	3.7044	5.5324	
2.496	0.0105	-0.0072	-0.0015	-0.1395	0.0802	0.2044	-0.0268	13.6278	0.0054	-0.8652	3.7087	5.5408	
2.498	0.0111	-0.0049	0.0009	-0.1359	0.0943	0.2223	-0.0278	13.7668	0.0060	-0.8508	3.7130	5.5490	
2.500	0.0095	-0.0032	0.0004	-0.1322	0.0821	0.2507	-0.0292	13.8092	0.0063	-0.8665	3.7171	5.5568	
2.502	0.0078	-0.0056	-0.0003	-0.1359	0.0973	0.2266	-0.0302	13.7939	0.0037	-0.8786	3.7209	5.5641	
2.504	0.0100	-0.0049	0.0009	-0.1475	0.1217	0.2297	-0.0312	13.7177	0.0031	-0.8800	3.7244	5.5708	
2.506	0.0097	-0.0051	-0.0013	-0.1567	0.1089	0.2334	-0.0326	13.8228	-0.0002	-0.8867	3.7276	5.5768	
2.508	0.0104	-0.0049	0.0000	-0.1273	0.1382	0.2192	-0.0342	13.8312	-0.0013	-0.8711	3.7303	5.5820	
2.510	0.0097	-0.0046	0.0011	-0.1212	0.1492	0.2531	-0.0352	13.9771	-0.0006	-0.8986	3.7327	5.5865	
2.512	0.0076	-0.0066	-0.0005	-0.1163	0.1718	0.2229	-0.0354	14.0483	0.0011	-0.8752	3.7348	5.5903	
2.514	0.0110	-0.0051	-0.0000	-0.1242	0.2078	0.2229	-0.0355	13.7906	0.0008	-0.8905	3.7366	5.5937	
2.516	0.0105	-0.0054	-0.0020	-0.1407	0.2072	0.2236	-0.0360	13.9347	0.0011	-0.8693	3.7384	5.5969	
2.518	0.0108	-0.0050	-0.0011	-0.1028	0.2530	0.2069	-0.0367	13.8024	0.0024	-0.8517	3.7401	5.6000	
2.520	0.0099	-0.0039	-0.0011	-0.0937	0.2615	0.2242	-0.0374	13.8448	0.0030	-0.8702	3.7417	5.6031	
2.522	0.0084	-0.0063	-0.0019	-0.0906	0.2969	0.1822	-0.0376	13.8753	0.0038	-0.8781	3.7433	5.6062	
2.524	0.0112	-0.0054	-0.0008	-0.0998	0.3354	0.1718	-0.0379	13.6719	0.0042	-0.8775	3.7448	5.6090	
2.526	0.0104	-0.0059	-0.0031	-0.1212	0.3341	0.1644	-0.0387	13.7261	0.0024	-0.8766	3.7462	5.6116	
2.528	0.0106	-0.0056	-0.0014	-0.0900	0.3683	0.1459	-0.0395	13.6770	0.0013	-0.8614	3.7473	5.6136	
2.530	0.0100	-0.0049	-0.0006	-0.0955	0.3836	0.1607	-0.0398	13.7787	0.0011	-0.8998	3.7481	5.6151	
2.532	0.0085	-0.0064	-0.0019	-0.0943	0.4013	0.1323	-0.0394	13.7872	0.0006	-0.8917	3.7486	5.6160	
2.534	0.0110	-0.0057	-0.0006	-0.1089	0.4226	0.1218	-0.0391	13.6651	0.0011	-0.8949	3.7487	5.6162	
2.536	0.0105	-0.0064	-0.0027	-0.1365	0.4056	0.1237	-0.0392	13.9279	0.0024	-0.8781	3.7487	5.6159	
2.538	0.0101	-0.0062	-0.0014	-0.1102	0.4184	0.1039	-0.0395	13.6854	0.0022	-0.8517	3.7483	5.6152	
2.540	0.0111	-0.0079	-0.0002	-0.1114	0.4178	0.1132	-0.0393	13.9126	0.0019	-0.8939	3.7478	5.6141	
2.542	0.0097	-0.0093	-0.0029	-0.1328	0.4135	0.1015	-0.0387	13.9058	0.0014	-0.8765	3.7471	5.6127	
2.544	0.0101	-0.0069	-0.0007	-0.1340	0.3952	0.0848	-0.0384	13.8279	0.0017	-0.8777	3.7464	5.6113	
2.546	0.0115	-0.0073	-0.0006	-0.1560	0.3604	0.1169	-0.0385	13.9008	0.0015	-0.8911	3.7456	5.6100	
2.548	0.0090	-0.0078	-0.0011	-0.1487	0.3769	0.1076	-0.0386	13.8889	0.0002	-0.8731	3.7450	5.6091	
2.550	0.0097	-0.0070	-0.0017	-0.1371	0.3720	0.1212	-0.0389	13.8753	-0.0008	-0.8957	3.7446	5.6085	
2.552	0.0089	-0.0082	-0.0031	-0.1738	0.3537	0.1212	-0.0397	14.0127	-0.0005	-0.8951	3.7444	5.6084	
2.554	0.0088	-0.0072	-0.0001	-0.1597	0.3525	0.1428	-0.0407	13.8295	0.0003	-0.8722	3.7445	5.6087	
2.556	0.0076	-0.0065	0.0007	-0.1646	0.3274	0.1650	-0.0417	13.8194	0.0009	-0.8887	3.7448	5.6095	
2.558	0.0057	-0.0089	0.0001	-0.1591	0.3097	0.1452	-0.0419	13.8702	0.0004	-0.8809	3.7453	5.6107	
2.560	0.0078	-0.0071	0.0007	-0.1707	0.3189	0.1428	-0.0420	13.6515	0.0020	-0.8749	3.7460	5.6123	
2.562	0.0072	-0.0079	0.0002	-0.1848	0.2755	0.1539	-0.0425	13.9940	0.0028	-0.8757	3.7468	5.6142	
2.564	0.0070	-0.0078	0.0015	-0.1475	0.2737	0.1341	-0.0429	13.5261	0.0026	-0.8771	3.7478	5.6162	
2.566	0.0068	-0.0076	0.0028	-0.1389	0.2609	0.1637	-0.0427	13.8482	0.0039	-0.8891	3.7488	5.6183	
2.568	0.0049	-0.0097	0.0013	-0.1273	0.2591	0.1366	-0.0416	13.9228	0.0042	-0.8640	3.7498	5.6202	
2.570	0.0071	-0.0081	0.0029	-0.1285	0.2609	0.1249	-0.0405	13.8702	0.0043	-0.8815	3.7506	5.6218	
2.572	0.0070	-0.0082	0.0022	-0.1365	0.2322	0.1372	-0.0398	13.9652	0.0058	-0.8678	3.7513	5.6231	
2.574	0.0065	-0.0089	0.0039	-0.0973	0.2505	0.1187	-0.0393	13.8991	0.0047	-0.8418	3.7519	5.6243	
2.576	0.0076	-0.0083	0.0029	-0.0753	0.2517	0.1181	-0.0389	13.8736	0.0040	-0.8748	3.7525	5.6254	
2.578	0.0065	-0.0099	0.0016	-0.0979	0.2524	0.1163	-0.0386	14.0008	0.0029	-0.8754	3.7531	5.6265	
2.580	0.0069	-0.0082	0.0041	-0.0863	0.2658	0.1237	-0.0387	13.9652	0.0028	-0.8492	3.7539	5.6278	
2.582	0.0074	-0.0079	0.0038	-0.0967	0.2322	0.1298	-0.0392	14.0194	0.0027	-0.8809	3.7548	5.6295	
2.584	0.0049	-0.0090	0.0042	-0.0930	0.2554	0.0971	-0.0396	13.7550	0.0015	-0.8678	3.7560	5.6317	
2.586	0.0063	-0.0076	0.0043	-0.1041	0.2707	0.0971	-0.0402	13.6447	0.0012	-0.8734	3.7575	5.6345	
2.588	0.0056	-0.0083	0.0030	-0.1273	0.2438	0.0953	-0.0412	13.8804	-0.0013	-0.8920	3.7591	5.6376	
2.590	0.0055	-0.0080	0.0054	-0.1096	0.2401	0.0817	-0.0424	13.7346	-0.0014	-0.8856	3.7607	5.6406	
2.592	0.0064	-0.0096	0.0070	-0.1132	0.2279	0.1015	-0.0428	13.6753	-0.0006	-0.9082	3.7623	5.6435	
2.594	0.0043	-0.0113	0.0050	-0.1273	0.2157	0.0959	-0.0421	13.6905	-0.0013	-0.8784	3.7636	5.6460	
2.596	0.0050	-0.0085	0.0062	-0.1255	0.1944	0.0860	-0.0412	13.7346	0.0006	-0.8723	3.7646	5.6480	
2.598	0.0065	-0.0079	0.0061	-0.1420	0.1608	0.1181	-0.0406	13.7872	0.0007	-0.9015	3.7652	5.6492	
2.600	0.0045	-0.0086	0.0069	-0.1377	0.1761	0.1095	-0.0401	13.6753	0.0011	-0.8818	3.7655	5.6497	
2.602	0.0054	-0.0076	0.0058	-0.1304	0.1620	0.1126	-0.0398	13.7889	0.0009	-0.9032	3.7653	5.6493	
2.604	0.0048	-0.0093	0.0044	-0.1609	0.1425	0.1119	-0.0396	13.9448	0.0028	-0.8946	3.7647	5.6481	
2.606	0.0046	-0.0075	0.0068	-0.1579	0.1400	0.1304	-0.0397	13.8533	0.0035	-0.8580	3.7637	5.6462	
2.608	0.0054	-0.0069	0.0068	-0.1701	0.0943	0.1360	-0.0402	13.8702	0.0020	-0.8838	3.7624	5.6437	
2.610	0.0037	-0.0079	0.0075	-0.1683	0.1040	0.1163	-0.0406	13.9075	0.0005	-0.8777	3.7610	5.6409	
2.612	0.0044	-0.0059	0.0061	-0.1628	0.0973	0.1163	-0.0412	13.8770	-0.0009	-0.8833	3.7594	5.6380	
2.614	0.0043	-0.0079	0.0048	-0.1891	0.0656	0.1132	-0.0420	13.7973	-0.0003	-0.8919	3.7578	5.6350	
2.616	0.0041	-0.0064	0.0070	-0.1756	0.0552	0.1119	-0.0430	13.5854	-0.0007	-0.8632	3.7563	5.6320	
2.618	0.0051	-0.0054	0.0072	-0.1805	0.0216	0.1366	-0.0442	13.7193	0.0008	-0.9042	3.7546	5.6288	
2.620	0.0030	-0.0066	0.0076	-0.1872	0.0277	0.1132	-0.0451	13.7956	0.0009	-0.8661	3.7529	5.6254	
2.622	0.0049	-0.0060	0.0070	-0.1707	0.0094	0.1187	-0.0456	13.7244	0.0004	-0.8981	3.7510	5.6216	
2.624	0.0039	-0.0068	0.0056	-0.1915	-0.0052	0.1181	-0.0457	13.6753	0.0013	-0.8852	3.7488	5.6174	
2.626	0.0037	-0.0053	0.0075	-0.1823	-0.0046	0.1459	-0.0457	13.7583	0.0009	-0.8658	3.7465	5.6128	
2.628	0.0043	-0.0037	0.0077	-0.1878	-0.0443	0.1625	-0.0458	13.4820	0.0017	-0.8917	3.7438	5.6077	
2.630	0.0011	-0.0049	0.0079	-0.1817	-0.0345	0.1403	-0.0455	13.7821	0.0022	-0.8850	3.7410	5.6022	
2.632	0.0035	-0.0037	0.0079	-0.1854	-0.0284	0.1539	-0.0451	13.7550	0.0018	-0.8922	3.7378	5.5963	
2.634	0.0034	-0.0048	0.0057	-0.1842	-0.0577	0.1545	-0.0450	13.9092	0.0017	-0.9174	3.7345	5.5901	
2.636	0.0035	-0.0030	0.0082	-0.1683	-0.0424	0.1613	-0.0451	13.8618	0.0034	-0.8673	3.7311	5.5837	
2.638	0.0028	-0.0028	0.0094	-0.1652	-0.0498	0.1835	-0.0447	13.9787	0.0028	-0.8788	3.7277	5.5775	
2.640	0.0009	-0.0047	0.0082	-0.1554	-0.0534	0.1742	-0.0431	14.0822	0.0022	-0.8577	3.7245	5.5715	
2.642	0.0032	-0.0027	0.0090	-0.1554	-0.0522	0.1699	-0.0412	13.7583	0.0039	-0.8694	3.7216	5.5662	
2.644	0.0033	-0.0021	0.0075	-0.1707	-0.0736	0.1878	-0.0396	13.8414	0.0034	-0.8757	3.7191	5.5615	
2.646	0.0030	-0.0019	0.0085	-0.1377	-0.0547	0.1816	-0.0380	13.7244	0.0035	-0.8554	3.7169	5.5573	
2.648	0.0045	-0.0032	0.0091	-0.1273	-0.0534	0.1995	-0.0359	13.7668	0.0028	-0.8786	3.7150	5.5537	
2.650	0.0033	-0.0038	0.0063	-0.1340	-0.0522	0.1989	-0.0330	13.7482	0.0024	-0.8772	3.7132	5.5505	
2.652	0.0035	-0.0008	0.0075	-0.1212	-0.0424	0.2199	-0.0304	13.5786	0.0020	-0.8794	3.7116	5.5475	
2.654	0.0040	0.0013	0.0073	-0.1230	-0.0547	0.2328	-0.0285	13.6397	0.0027	-0.8990	3.7100	5.5445	
2.656	0.0020	0.0003	0.0077	-0.1206	-0.0321	0.2014	-0.0267	13.6329	0.0026	-0.8812	3.7082	5.5412	
2.658	0.0045	0.0022	0.0082	-0.1255	-0.0101	0.2032	-0.0254	13.4786	0.0013	-0.8919	3.7062	5.5375	
2.660	0.0038	0.0023	0.0062	-0.1463	-0.0278	0.2001	-0.0247	13.7990	0.0004	-0.8867	3.7040	5.5333	
2.662	0.0037	0.0038	0.0076	-0.1193	-0.0119	0.1841	-0.0241	13.7177	-0.0001	-0.8809	3.7015	5.5287	
2.664	0.0047	0.0031	0.0090	-0.1224	-0.0083	0.1872	-0.0232	13.8041	0.0006	-0.9009	3.6989	5.5238	
2.666	0.0031	0.0017	0.0073	-0.1230	0.0027	0.1699	-0.0214	13.6617	0.0007	-0.8707	3.6963	5.5189	
2.668	0.0049	0.0056	0.0078	-0.0955	-0.0009	0.1557	-0.0198	13.8702	0.0002	-0.8679	3.6937	5.5141	
2.670	0.0062	0.0071	0.0078	-0.1126	-0.0131	0.1711	-0.0189	13.7719	0.0006	-0.8954	3.6912	5.5095	
2.672	0.0044	0.0073	0.0090	-0.1108	0.0198	0.1360	-0.0183	13.6905	0.0003	-0.8707	3.6890	5.5055	
2.674	0.0055	0.0076	0.0088	-0.0924	0.0235	0.1341	-0.0176	13.6753	0.0000	-0.8919	3.6871	5.5020	
2.676	0.0045	0.0061	0.0073	-0.1077	0.0387	0.1181	-0.0166	13.6804	0.0009	-0.8736	3.6855	5.4991	
2.678	0.0054	0.0099	0.0089	-0.0918	0.0454	0.0996	-0.0159	13.7465	0.0013	-0.8557	3.6842	5.4967	
2.680	0.0066	0.0110	0.0095	-0.1102	0.0363	0.1138	-0.0159	13.7177	0.0015	-0.8847	3.6832	5.4950	
2.682	0.0040	0.0115	0.0098	-0.0985	0.0796	0.0897	-0.0160	13.6515	0.0030	-0.8684	3.6824	5.4937	
2.684	0.0056	0.0122	0.0096	-0.0820	0.0882	0.0786	-0.0162	13.6261	0.0008	-0.8981	3.6818	5.4926	
2.686	0.0046	0.0110	0.0084	-0.1016	0.1034	0.0663	-0.0163	13.6193	-0.0005	-0.8943	3.6812	5.4918	
2.688	0.0054	0.0139	0.0100	-0.0869	0.1260	0.0731	-0.0166	13.6566	-0.0016	-0.8818	3.6806	5.4909	
2.690	0.0050	0.0161	0.0097	-0.0869	0.1248	0.0885	-0.0174	13.6753	-0.0022	-0.9088	3.6800	5.4899	
2.692	0.0034	0.0151	0.0102	-0.0808	0.1516	0.0534	-0.0181	13.6702	-0.0028	-0.9048	3.6793	5.4886	
2.694	0.0049	0.0169	0.0110	-0.0943	0.1791	0.0546	-0.0189	13.7414	-0.0044	-0.9242	3.6784	5.4872	
2.696	0.0048	0.0167	0.0086	-0.0979	0.1596	0.0552	-0.0200	13.6787	-0.0053	-0.9143	3.6776	5.4858	
2.698	0.0046	0.0180	0.0109	-0.0686	0.1767	0.0595	-0.0212	13.7855	-0.0060	-0.8961	3.6767	5.4843	
2.700	0.0036	0.0197	0.0112	-0.0710	0.1742	0.0817	-0.0221	13.8855	-0.0054	-0.9100	3.6758	5.4829	
2.702	0.0025	0.0168	0.0103	-0.0661	0.1840	0.0503	-0.0221	13.6990	-0.0034	-0.8887	3.6751	5.4818	
2.704	0.0046	0.0195	0.0113	-0.0600	0.1712	0.0398	-0.0218	13.5735	-0.0028	-0.8899	3.6745	5.4809	
2.706	0.0061	0.0195	0.0103	-0.0802	0.1455	0.0663	-0.0216	13.7024	-0.0023	-0.9065	3.6741	5.4804	
2.708	0.0046	0.0202	0.0105	-0.0600	0.1803	0.0583	-0.0213	13.5362	-0.0036	-0.8990	3.6739	5.4802	
2.710	0.0056	0.0199	0.0111	-0.0533	0.1779	0.0682	-0.0208	13.6024	-0.0035	-0.9175	3.6737	5.4801	
2.712	0.0034	0.0187	0.0094	-0.0594	0.1852	0.0638	-0.0198	13.7753	-0.0036	-0.8902	3.6736	5.4801	
2.714	0.0049	0.0219	0.0106	-0.0466	0.1761	0.0484	-0.0188	13.5057	-0.0026	-0.8945	3.6736	5.4802	
2.716	0.0056	0.0228	0.0098	-0.0747	0.1675	0.0762	-0.0181	13.8668	-0.0014	-0.8920	3.6736	5.4804	
2.718	0.0046	0.0233	0.0102	-0.0545	0.1944	0.0632	-0.0175	13.6125	-0.0020	-0.8696	3.6736	5.4807	
2.720	0.0051	0.0232	0.0112	-0.0606	0.2023	0.0904	-0.0162	13.6871	-0.0008	-0.9225	3.6737	5.4811	
2.722	0.0027	0.0221	0.0092	-0.0588	0.2096	0.0749	-0.0141	13.8584	-0.0005	-0.8890	3.6738	5.4816	
2.724	0.0056	0.0250	0.0100	-0.0576	0.2047	0.0608	-0.0123	13.8957	0.0003	-0.8838	3.6740	5.4822	
2.726	0.0063	0.0256	0.0087	-0.0869	0.1938	0.0830	-0.0113	13.7617	0.0012	-0.8774	3.6742	5.4830	
2.728	0.0054	0.0263	0.0093	-0.0643	0.2261	0.0675	-0.0107	13.8787	0.0017	-0.8577	3.6747	5.4842	
